A,"СЕЛСКО ГОРСКО И РИБНО СТОПАНСТВО"
26,"Производство на компютърна и комуникационна техника електронни и оптични продукти"
26.1,"Производство на електронни елементи и печатни платки"
26.11,"Производство на електронни елементи"
26.12,"Производство на монтирани печатни платки"
26.2,"Производство на компютърна техника"
26.20,"Производство на компютърна техника"
26.3,"Производство на радио телевизионна и далекосъобщителна техника"
26.30,"Производство на радио телевизионна и далекосъобщителна техника"
26.4,"Производство на битова електроника"
26.40,"Производство на битова електроника"
26.5,"Производство на уреди и апарати за измерване изпитване и навигация производство на часовници"
26.51,"Производство на уреди и апарати за измерване изпитване и навигация"
26.52,"Производство на часовници и часовникови механизми"
26.6,"Производство на излъчващи електромедицински и терапевтични апарати"
26.60,"Производство на излъчващи електромедицински и терапевтични апарати"
26.7,"Производство на оптични уреди и елементи и фотографска техника"
26.70,"Производство на оптични уреди и елементи и фотографска техника"
26.8,"Производство на магнитни и оптични носители незаписани"
26.80,"Производство на магнитни и оптични носители незаписани"
27,"Производство на електрически съоръжения"
27.1,"Производство на електрически двигатели генератори и трансформатори и апарати за управление и разпределение"
27.11,"Производство на електрически двигатели генератори и трансформатори"
27.12,"Производство на апарати за управление и разпределение на електрическа енергия"
27.2,"Производство на акумулаторни батерии и акумулатори"
27.20,"Производство на акумулаторни батерии и акумулатори"
27.3,"Производство на изолирани проводници и електроинсталационни изделия"
27.31,"Производство на кабели от оптични влакна"
27.32,"Производство на други електрически и електронни проводници и кабели"
27.33,"Производство на електроинсталационни изделия"
27.4,"Производство на лампи и осветители"
27.40,"Производство на лампи и осветители"
27.5,"Производство на битови уреди"
27.51,"Производство на битови електроуреди"
27.52,"Производство на неелектрически битови уреди"
27.9,"Производство на други електрически съоръжения"
27.90,"Производство на други електрически съоръжения"
28,"Производство на машини и оборудване с общо и специално предназначение"
28.1,"Производство на машини с общо предназначение"
28.11,"Производство на турбини и двигатели без авиационни автомобилни и мотоциклетни"
28.12,"Производство на хидравлични помпи хидравлични и пневматични двигатели"
28.13,"Производство на други помпи и компресори"
28.14,"Производство на арматурни изделия"
28.15,"Производство на лагери предавки и съединители"
28.2,"Производство на други машини с общо предназначение"
28.21,"Производство на пещи и горелки"
28.22,"Производство на подемно транспортни машини"
28.23,"Производство на офис техника без компютърната"
28.24,"Производство на преносими инструменти с вграден двигател"
28.25,"Производство на промишлено хладилно и вентилационно оборудване"
28.29,"Производство на други машини с общо предназначение некласифицирани другаде"
28.3,"Производство на машини за селското и горското стопанство"
28.30,"Производство на машини за селското и горското стопанство"
28.4,"Производство на обработващи машини"
28.41,"Производство на машини за обработка на метал"
28.49,"Производство на други обработващи машини"
28.9,"Производство на други машини със специално предназначение"
28.91,"Производство на машини и оборудване за металургията и леярството"
28.92,"Производство на машини за добива и строителството"
28.93,"Производство на машини и оборудване за преработка на храни напитки и тютюн"
