22,4,,"Ден на Земята","international","Earth Day"
8,5,,"Международнен празник","holiday","Международен ден на Червения кръст и Червения полумесец"
12,5,,"Световен ден на медицинските сестри","international","International Nurses Day"
1,6,,"Ден на детето","international","Ден на детето

Други държави: Ангола"
5,6,,"Световен ден на околната среда","international","World Environment Day"
8,6,,"Световен ден на океаните","international","World Oceans Day"
14,6,,"Световен ден на кръводарителя","international","World Blood Donor Day"
26,1,,"Ден на основаването на Австралия","AU","пристигането на първите заселници през 1788 г."
26,10,,"Декларация Парламента за неутралитет на Австрия","AT","залегнал в конституцията, 1955 г."
28,5,,"Ден на републиката","AZ","Ден на републиката, 1918 г."
28,11,,"Ден на независимостта","AL","от Турция, 1912 г."
1,11,,"Ден на революцията","DZ","от Франция, 1962 г."
23,4,,"Ден на Свети Георги","GB","патрон на нацията"
11,11,,"Ден на независимостта","AO","от Португалия, 1975 г."
30,5,,"Ден на Ангуила","АТ","по повод въвеждането на самостоятелна полиция през 1967 г."
8,9,,"Ден на независимостта","AD","от Франция и Испания, 1993 г."
1,11,,"Антигуа и Барбуда","foreign","Ден на независимостта — от Великобритания, 1981 г."
25,5,,"Ден на въстанието за независимост","AR","срещу Испания, 1810 г."
28,5,,"Ден на независимостта","AM","от СССР, 1991 г."
1,,,"Аруба","foreign","Ден на националния флаг — 1976 г."
19,8,,"Ден на независимостта","AF","от Великобритания, 1919 г."
3,7,,"Ден на освобождението","BY","от Хитлеристка Германия, 1944 г."
21,7,,"Коронация Леополд I","BE","първи крал на Белгия — 1831 г."
10,9,,"Ден на Св. Джордж Кайе","BZ","Ден на Св. Джордж Кайе — патрон на държавата"
21,9,,"Ден на независимостта","BZ","Ден на независимостта — от Великобритания, 1981 г."
26,3,,"Ден на независимостта","BD","Ден на независимостта — от Пакистан, 1971 г."
30,11,,"Ден на независимостта","BB","Ден на независимостта — от Великобритания, 1966 г."
10,7,,"Ден на независимостта","BS","Ден на независимостта — от Великобритания, 1973 г."
16,12,,"Бахрейн","foreign","Ден на нацията - получаване на пълна независимост и отпадане статута на протекторат на Великобритания, 1971 г."
1,8,,"Ден на независимостта","BJ","Ден на независимостта — от Франция, 1960 г."
24,5,,"Бермуда","foreign","Ден на националните герои — първоначално е честван като Ден на кралица Виктория"
6,8,,"Ден на независимостта","BO","Ден на независимостта — от Испания, 1825 г."
1,3,,"Ден на независимостта","BA","от Югославия, 1992 г"
25,11,,"Ден на държавността","BA","възстановяване на държавата от марионетната на Италия Независима държава Хърватска, 1943 г."
30,9,,"Ботсвана","foreign","Ден на независимостта — от Великобритания, 1966 г."
7,9,,"Ден на независимостта","BR","от Португалия, обявена през 1822 г.; призната 3 години по-късно"
23,2,,"Бруней","foreign","Национален ден на Бруней — от 1984 г."
4,8,,"Ден на независимостта","BF","Годишнина от революцията — 1984 г. и Ден на независимостта — от Франция, 1960 г."
1,7,,"Ден на независимостта","BI","Ден на независимостта — от Белгия, 1962 г."
17,12,,"Бутан","foreign","Начало на управление на династията Вангчук — 1907 г."
30,7,,"Вануату","foreign","Ден на независимостта — от Франция и Великобритания, 1980 г."
11,2,,"Ватикан","foreign","Ден на суверенитета — от Италия, 1929 г."
6,,,"втората събота на Юни","GB","Официално честване на рожднния ден на кралица Елизабет II"
5,7,,"Декларация за независимост","VE","от Испания, 1811 г."
2,9,,"Декларация за независимост","VN","от Франция, 1945 г."
17,8,,"Габон","foreign","Ден на независимостта — от Франция, 1960 г."
18,2,,"Ден на независимостта","GM","Ден на независимостта — от Великобритания, 1965 г."
6,3,,"Ден на независимостта","GH","Ден на независимостта — от Великобритания, 1957 г."
15,9,,"Ден на независимостта","GT","Ден на независимостта — от Испания, 1821 г."
2,10,,"Гвинея","foreign","Ден на независимостта — от Франция, 1958 г."
24,9,,"Гвинея-Бисау","foreign","Ден на независимостта — от Португалия, 1973 г."
23,2,,"Ден на републиката","GY","Празник Машрамани по повод Ден на републиката — 1972 г."
3,10,,"Ден на германското единство","DE","Ден на германското единство — 1990 г."
10,9,,"Гибралтар","foreign","Празник на Гибралтар"
7,2,,"Гренада","foreign","Ден на независимостта — от Великобритания, 1973 г."
26,5,,"Ден на независимостта","GE","Ден на независимостта — от Болшевишка Русия, 1918 г."
21,7,,"Гуам","foreign","Ден на свободата — от японска окупация, 1944 г."
25,3,,"Ден на независимостта","GR","от Османската империя, декларирана на същата дата през 1821 г., което е начало на войната за независимост"
5,6,,"Ден на конституцията","DK","Ден на конституцията — 1848 г."
27,6,,"Ден на независимостта","DJ","Ден на независимостта — от Франция, 1977 г."
9,5,,"Джърси(Великобритания)","foreign","Ден на свободата, край на окупацията на Ла Манш с края на Втората световна война 1945 г."
3,11,,"Доминика","foreign","Ден на независимостта — от Великобритания, 1978 г."
27,2,,"Ден на независимостта","DO","Ден на независимостта — от Хаити, 1844 г."
16,8,,"Възстановяване на националната независимост","DO","Възстановяване на националната независимост — от Испания, 1865 г."
23,7,,"Ден на революцията","EG","1952 г."
10,8,,"Ден на независимостта","EC","Ден на независимостта — от Испания, 1809 г. — окончателно извоювана на 24 май 1822 г."
12,10,,"Екваториална Гвинея","foreign","Ден на независимостта — от Испания, 1968 г."
24,2,,"Ден на независимостта","EE","от Болшевишка Русия, 1918 г., същият ден се празнува и като Ден на републиката"
28,5,,"Възстановяване на демокрацията","ET","Възстановяване на демокрацията — сваляне на диктатурата на Менгисту Хайле Мариам, 1991 г."
24,10,,"Замбия","foreign","Декларация за независимост — от Великобритания, 1964 г."
18,4,,"Зимбабве","foreign","екларация за независимост — от Великобритания, 1980 г."
14,5,,"Ден на независимостта","IL","с прекратяване на мандата на Великобритания, 1948 г. върху територията на Палестина"
20,5,,"Източен Тимор","foreign","Ден на независимостта — от Индонезия, 2002 г."
26,1,,"Ден на републиката","IN","Ден на републиката — 1950 г.)"
15,8,,"Ден на независимостта","IN","от Великобритания, 1947 г."
2,10,,"Годишнина от рождението на Махатма Ганди","IN","Годишнина от рождението на Махатма Ганди — 1869 г."
17,8,,"Ден на независимостта","ID"," от Нидерландия, 1945 г."
1,4,,"Ден на ислямската република","IR","Ден на ислямската република — 1979 г."
17,7,,"Ден на ислямската република","IQ","Ден на ислямската република"
17,3,,"Ден на Свети Патрик","IE","Ден на Свети Патрик"
17,6,,"Ден на независимостта","IS","от Дания, 1944 г."
12,10,,"Годишнина от откриването на Америка","ES","Годишнина от откриването на Америка, 1492 г."
2,6,,"Ден на републиката","IT","Ден на републиката — 1946 г."
22,5,,"Йемен","foreign","Ден на обединението — на Северен Йемен и Южен Йемен, 1990 г."
25,5,,"Ден на независимостта","JO","от Великобритания, 1946 г."
12,9,,"Кабо Верде","foreign","Ден на нацията"
25,10,,"Ден на републиката","KZ","Ден на републиката и на държавния суверенитет — 1990 г."
7,,,"Кайманови острови","foreign","1-ви понеделник на юли"
9,11,,"Ден на независимостта","KH","Ден на независимостта — от Франция, 1953 г."
1,7,,"Ден на Канада","CA","Ден на Канада — 1867 г."
3,9,,"Ден на независимостта","QA","от Великобритания, 1971 г."
24,6,,"Квебек (Канада)","foreign","Ден на патрона на областта Йоан Кръстител"
12,12,,"Кения","foreign","Ден на независимостта — от Великобритания, 1963 г.; същият ден се празнува и като Ден на републиката"
31,8,,"Ден на независимостта","KG","Ден на независимостта — от СССР, 1991 г."
1,10,,"Ден на независимостта","CY","от Великобритания, 1960 г."
12,7,,"Кирибати","foreign","Ден на независимостта — от Великобритания, 1979 г."
1,10,,"Ден на Китайската народна република","CN","Ден на Китайската народна република — 1949 г."
20,7,,"Обявяване на независимост","CO","Обявяване на независимост — от Испания, 1810 г."
