183,НОВИ ИСКЪР, ул. ИСКЪРСКО ДЕФИЛЕ 281 
251,НОВИ ПАЗАР, ул. ВАСИЛ ЛЕВСКИ 9 
229,ОБЗОР, ул. СЛАВЯНСКА 41 
191,ОМУРТАГ, ул. ХРИСТО БОТЕВ 32 
771,ОРЯХОВО, ул. ВАСИЛ ЛЕВСКИ 9 
625,ПАВЛИКЕНИ, ул. ВАСИЛ ЛЕВСКИ 3 
18,ПАЗАРДЖИК, ул. ПЛОВДИВСКА 103 
184,ПАЗАРДЖИК - СКЛАД, ул. ДИМЧО ДЕБЕЛЯНОВ 80 
862,ПАЗАРДЖИК - ГЕНЕРАЛ ГУРКО, бул. ГЕН. ГУРКО 10 
863,ПАЗАРДЖИК, бул. АЛЕКСАНДЪР СТАМБОЛИЙСКИ 39 
9029,ПАЗАРДЖИК - БИЛЛА ЛЮБЕН БОЯНОВ (АВТОМАТ), ул. ЛЮБЕН БОЯНОВ 1 
166,ПАНАГЮРИЩЕ, ул. ГЕОРГИ БЕНКОВСКИ 28 
35,ПЕРНИК, ул. СВ. СВ. КИРИЛ И МЕТОДИЙ 23 
127,ПЕРНИК - СКЛАД, ул. СОФИЙСКО ШОСЕ 15 
174,ПЕРНИК - ЮРИ ГАГАРИН, кв. ИЗТОК М/У БЛ.34 И БЛ.36
677,ПЕРНИК - ЦЕНТЪР, ул. МИНЬОР 6 
9056,ПЕРНИК - БИЛЛА СВ. СВ. КИРИЛ И МЕТОДИЙ (АВТОМАТ), ул. СВ. СВ. КИРИЛ И МЕТОДИЙ 29 
27,ПЕТРИЧ - ОФИС, пл. МАКЕДОНИЯ 10 
139,ПЕТРИЧ - СКЛАД, ул. МЕСТА 3 
541,ПИРДОП, ул. ЦАР ОСВОБОДИТЕЛ 42 
12,ПЛЕВЕН - СКЛАД, жк СТОРГОЗИЯ 140
106,ПЛЕВЕН - ОФИС, ул. ВАСИЛ ДРУМЕВ 4 
247,ПЛЕВЕН, ул. ХАДЖИ ДИМИТЪР 52 
