9480,с.,Безмер,Тервел,Добрич,43.79811,27.414604
8637,с.,Безмер,Тунджа,Ямбол,42.475916,26.397292
5094,с.,Бейковци,Елена,Велико Търново,42.867406,25.854915
5673,к.,Беклемето,Троян,Ловеч,42.796052,24.625933
5300,с.,Бекриите,Габрово,Габрово,42.934052,25.299837
2793,с.,Бел Камен,Якоруда,Благоевград,41.996435,23.748762
3965,с.,Бела,Димово,Видин,43.712073,22.71012
3731,с.,Бела Рада,Видин,Видин,43.97565,22.758678
2453,с.,Беланица,Радомир,Перник,42.482944,22.937717
2881,с.,Беласица,Петрич,Благоевград,41.366765,23.133916
4124,с.,Белащица,Родопи,Пловдив,42.06529,24.747118
9690,с.,Белгун,Каварна,Добрич,43.602135,28.325397
4738,с.,Белев Дол,Смолян,Смолян,41.613009,24.935962
2800,с.,Белевехчево,Сандански,Благоевград,41.565472,23.307214
8345,с.,Белеврен,Средец,Бургас,42.093454,27.177799
5930,гр.,Белене,Белене,Плевен,43.644044,25.125362
5783,с.,Беленци,Луковит,Ловеч,43.119081,24.063532
3441,с.,Бели Брег,Бойчиновци,Монтана,43.510509,23.430725
3447,с.,Бели Брод,Бойчиновци,Монтана,43.536273,23.576172
6262,с.,Бели Бряг,Раднево,Стара Загора,42.239057,25.941636
6702,с.,Бели Вир,Черноочене,Кърджали,41.73027,25.310717
6590,с.,Бели Дол,Ивайловград,Хасково,41.409679,25.955913
3040,с.,Бели Извор,Враца,Враца,43.273064,23.454954
2011,с.,Бели Искър,Самоков,София,42.271639,23.538411
7293,с.,Бели Лом,Лозница,Разград,43.429486,26.719732
5662,с.,Бели Осъм,Троян,Ловеч,42.849886,24.632093
6689,с.,Бели Пласт,Кърджали,Кърджали,41.776002,25.42879
8316,с.,Белила,Средец,Бургас,42.330867,27.102281
3462,с.,Белимел,Чипровци,Монтана,43.43331,22.974467
7432,с.,Белинци,Исперих,Разград,43.650665,26.958385
2780,гр.,Белица,Белица,Благоевград,41.950749,23.557441
5363,с.,Белица,Трявна,Габрово,42.852064,25.579359
7648,с.,Белица,Тутракан,Силистра,43.92723,26.664851
4242,с.,Белица,Лъки,Пловдив,41.826581,24.896609
6557,с.,Белица,Любимец,Хасково,41.827621,26.005845
