SiteType,SiteType_EN,SiteName,SiteName_EN,PostCode
к.м.,k.m.,УЗАНА,UZANA,
лет.,let.,БОДРОСТ,BODROST,
с.,s.,АБЛАНИЦА,ABLANITSA,2932
с.,s.,АБЛАНИЦА,ABLANITSA,5574
с.,s.,АБЛАНИЦА,ABLANITSA,4645
с.,s.,АБРИТ,ABRIT,9407
с.,s.,АВРАМОВО,AVRAMOVO,2795
с.,s.,АВРАМОВО,AVRAMOVO,6797
с.,s.,АВРЕН,AVREN,9135
с.,s.,АВРЕН,AVREN,6930
с.,s.,АГАТОВО,AGATOVO,5431
с.,s.,АЗМАНИТЕ,AZMANITE,5350
с.,s.,АЙДЕМИР,AYDEMIR,7538
с.,s.,АЙРОВО,AYROVO,6639
с.,s.,АКАНДЖИЕВО,AKANDZHIEVO,4483
с.,s.,АКАЦИЕВО,AKATSIEVO,3727
с.,s.,АЛАМОВЦИ,ALAMOVTSI,4984
с.,s.,АЛБАНЦИ,ALBANTSI,6850
с.,s.,АЛВАНОВО,ALVANOVO,7752
с.,s.,АЛДОМИРОВЦИ,ALDOMIROVTSI,2222
с.,s.,АЛЕКО КОНСТАНТИНОВО,ALEKO KONSTANTINOVO,4411
с.,s.,АЛЕКОВО,ALEKOVO,5288
с.,s.,АЛЕКОВО,ALEKOVO,7555
с.,s.,АЛЕКСАНДРИЯ,ALEKSANDRIA,9404
с.,s.,АЛЕКСАНДРОВО,ALEKSANDROVO,8211
с.,s.,АЛЕКСАНДРОВО,ALEKSANDROVO,5289
с.,s.,АЛЕКСАНДРОВО,ALEKSANDROVO,5560
с.,s.,АЛЕКСАНДРОВО,ALEKSANDROVO,6154
с.,s.,АЛЕКСАНДРОВО,ALEKSANDROVO,7761
с.,s.,АЛЕКСАНДРОВО,ALEKSANDROVO,6351
с.,s.,АЛЕКСАНДРОВО,ALEKSANDROVO,9829
с.,s.,АЛЕКСАНДРОВО,ALEKSANDROVO,8653
с.,s.,АЛЕКСАНДЪР СТАМБОЛИЙСКИ,ALEKSANDAR STAMBOLIYSKI,9565
с.,s.,АЛЕНДАРОВА,ALENDAROVA,4621
с.,s.,АЛИГОВСКА,ALIGOVSKA,4787
с.,s.,АЛИНО,ALINO,2019
с.,s.,АЛТИМИР,ALTIMIR,3251
с.,s.,АЛЦЕК,ALTSEK,9434
с.,s.,АНГЕЛ ВОЙВОДА,ANGEL VOYVODA,6373
с.,s.,АНГЕЛАРИЙ,ANGELARIY,9483
с.,s.,АНГЕЛОВ,ANGELOV,5342
с.,s.,АНЕВО,ANEVO,4331
с.,s.,АНТИМОВО,ANTIMOVO,7628
с.,s.,АНТИМОВО,ANTIMOVO,3776
с.,s.,АНТОН,ANTON,2089
с.,s.,АПЛАЦИ,APLATSI,5094
с.,s.,АПРИЛОВО,APRILOVO,2128
с.,s.,АПРИЛОВО,APRILOVO,6281
с.,s.,АПРИЛОВО,APRILOVO,7864
с.,s.,АПРИЛЦИ,APRILTSI,4445
с.,s.,АПРИЛЦИ,APRILTSI,6888
с.,s.,АРБАНАСИ,ARBANASI,5029
с.,s.,АРДА,ARDA,4790
с.,s.,АРЗАН,ARZAN,2386
с.,s.,АРКОВНА,ARKOVNA,9246
с.,s.,АРМЕНИТЕ,ARMENITE,5347
с.,s.,АРМЯНКОВЦИ,ARMYANKOVTSI,5363
с.,s.,АРНАУТИТО,ARNAUTITO,6069
с.,s.,АРПАДЖИК,ARPADZHIK,4922
с.,s.,АРЧАР,ARCHAR,3770
с.,s.,АСЕН,ASEN,6149
с.,s.,АСЕНОВЕЦ,ASENOVETS,8933
с.,s.,АСЕНОВО,ASENOVO,5159
с.,s.,АСЕНОВО,ASENOVO,5957
с.,s.,АСЕНОВО,ASENOVO,8667
с.,s.,АСЕНОВЦИ,ASENOVTSI,5913
с.,s.,АСПАРУХОВО,ASPARUHOVO,8485
с.,s.,АСПАРУХОВО,ASPARUHOVO,9260
с.,s.,АСПАРУХОВО,ASPARUHOVO,3661
с.,s.,АСПАРУХОВО,ASPARUHOVO,5914
с.,s.,АТИЯ,ATIA,8140
с.,s.,АТОЛОВО,ATOLOVO,8683
с.,s.,АУСТА,AUSTA,6821
с.,s.,АХМАТОВО,AHMATOVO,4128
с.,s.,АХРЯНСКО,AHRYANSKO,6761
с.,s.,БАБА СТАНА,BABA STANA,5632
с.,s.,БАБА ТОНКА,BABA TONKA,7861
с.,s.,БАБЕК,BABEK,4156
с.,s.,БАБИНО,BABINO,2683
с.,s.,БАБИНСКА РЕКА,BABINSKA REKA,2668
с.,s.,БАБИНЦИ,BABINTSI,5726
с.,s.,БАБИЦА,BABITSA,2365
с.,s.,БАБЛОН,BABLON,4774
с.,s.,БАБОВО,BABOVO,7068
с.,s.,БАБУК,BABUK,7573
с.,s.,БАБЯК,BABYAK,2784
с.,s.,БАГАЛЕВЦИ,BAGALEVTSI,5094
с.,s.,БАГРА,BAGRA,6749
с.,s.,БАГРЕНЦИ,BAGRENTSI,2530
с.,s.,БАГРИЛЦИ,BAGRILTSI,6944
с.,s.,БАГРЯНКА,BAGRYANKA,6819
с.,s.,БАДЕВЦИ,BADEVTSI,5093
с.,s.,БАДИНО,BADINO,2676
