key,day,base,weekday,year,title,type,info,nameday
,29,4,,,Св. Св. 9 мчци в Кизик. Преп. Мемнон Чудотворец ,nameday,,"Пенчо, Пенка, Пеньо, Пенко"
,12,5,,,"Св. Епифаний, еп. Кипърски и св. Герман, патр. Константинополски. Св. мчк Панкратий",nameday,,"Герана, Герасим, Герда, Герман, Геро, Джерман, Искра, Искрен"
,24,7,,,Св. великомъченица Христина,nameday,,Христина
,27,7,,,"Св. вмчк Пантелеймон. Св. Седмочисленици. Успение на св. Климент, архиеп. Охридски ",nameday,,"Панчо, Панка, Пантелей"
,8,8,,,"Св. Емилиан изповедник, еп. Кизически. Св. Мирон чудотворец, еп. Критски. Св. Трендафил Старозагорски ",nameday,,"Емил, Емилия"
,10,8,,,Св. мчк и архидякон Лаврентий,nameday,,Ивайло
,15,8,,,"Успение Богородично, Голяма Богородица",nameday,,"Мария, Мара, Марийка, Мима, Мими, Марио, Панайот и др."
,20,8,,,св. Самуил,nameday,,Самуил
,23,8,,,"Св. мчк Луп. Св. Ириней, еп. Лионски. Преп. Флорентий ",nameday,,"Вълко, Витан"
,29,8,,,Св. Анастасий Струмишки,nameday,,"Анастас, Анастасия и др."
,31,8,,,"Полагане честния пояс на Пресвета Богородица. Св. свщмчк Киприан, еп. Картагенски. Св. Генадий, патриарх Константинополски",nameday,," Гено, Гена, Генчо, Генади"
,1,9,,,"Симеоновден, св. Симеон Стълпник",nameday,,Симеон
,5,9,,,Св. пророк Захарий и праведна Елисавета,nameday,,"Захари и Елисавета, Зарко, Светлозар, Светлозара, Ели , Изабел и др."
,20,9,,,Св. вмчк Евстатий Плакида и семейството му,nameday,,Евстати
,22,9,,,"Св. свщмчк Фока, еп. Синопийски. Св. прор. Йона. Преп. Йона. Преп. Козма Зографски ",nameday,,Гълъбин(а)
,18,10,,,Св. Злата Мъгленска,nameday,,"Злата, Златка, Златина, Златинка, Златко, Златан, Златомир, Златозария, Лука, Лукан и др."
,27,10,,,Св. мчк Нестор. Преп. Димитрий Басарабовски,nameday,,Нестор
,11,11,,,"Св. мъченици Мина, Виктор и Викентий",nameday,,"Виктор, Виктория, Мина, Милена, Минка, Минчо и др. "
,14,11,,,Коледни заговезни,nameday,,"Филип, Управда, Юстиниан"
,16,11,,,Свети апостол и евангелист Матей ,nameday,,Матей
,23,11,,,Православен,orthodox,"Св. Амфилохий, епископ Иконийски, Св. Григорий, епископ Акрагантийски (V-VI), Св. благоверен княз Александър Невски",
,24,11,,,Св. великомъченица Екатерина,nameday,,"Екатерина, Катерина, Катя, Катрин и др. "
,26,11,,,Преп. Алипий Стълпник. Преп. Яков Отшелник. Св. Стилиан Пафлагонийски ,nameday,,"Стилиян, Стелян, Стела, Стилян и др."
,4,12,,,Св. великомъченица Варвара,nameday,,"Варвара, Барбара и др."
,5,12,,,Св. преподобни Сава Освещени,nameday,,"Сава, Савина, Савка, Савчо, Светослав, Владислав(а),Станислав, Станислава, Венцислав(а), Десислава, Слав(чо), Съби, Сабина, Събина, Слави, Слава, Славка и др."
,9,12,,,зачатие на св. Анна – баба на Исус Христос,nameday,,"Ана, Анна, Анка, Анета, Анелия и др."
,15,12,,,Св. свщмчк Елевтерий. Преп. Павел Латрийски,nameday,,Свобода
,17,12,,,Св. пророк Даниил,nameday,,"Данаил, Даниел, Даниела,Данислав и др."
,20,12,,,Игнажден,nameday,,"Игнат, Искра, Искрен, Пламен, Пламена, Огнян, Огняна, Светла,"
,21,12,,,Св. мъченица Юлияния,nameday,,"Юлия, Юлиян, Юлияна"
,22,12,,,Св. великомъченица Анастасия,nameday,,Анастасия
,24,12,,,Света Евгения,nameday,,"Женя, Бистра и др"
,25,12,,,Рождество Христово,nameday,,"Божидар, Емил, Христо, Християн, Христин, Кристиян, Кристиан, Христа, Христина, Радослав, Кристина, Кристиана, Кристин, Младен, Радомир, Радостин(а),Радина, Радослава, Емануил и др."
